"Name";"Artikelnummer";"QR-/Barcode";"Kategorie";"Unterkategorie";"Einheit";"Durchmesser";"Laenge";"Bestand";"Mindestbestand";"Lagerort";"Lieferant";"Notiz";"Listenpreis";"Einkaufspreis";"Rabatt"
"Dachpappnägel Ringnut Drahtgebunden Feuerverzinkt 16° Wimmer";"DN16R-FE-3019";"DN16R-FE-3019";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"23,32";"8,16";"65,0"
"Dachpappnägel Ringnut Drahtgebunden Feuerverzinkt 16° Wimmer";"DN16R-FE-3022";"DN16R-FE-3022";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"25,44";"8,90";"65,0"
"Dachpappnägel Ringnut Drahtgebunden Feuerverzinkt 16° Wimmer";"DN16R-FE-3025";"DN16R-FE-3025";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"28,62";"10,02";"65,0"
"Dachpappnägel Ringnut Drahtgebunden Feuerverzinkt 16° Wimmer";"DN16R-FE-3045";"DN16R-FE-3045";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"50,80";"17,78";"65,0"
"Haftennagelrollen 16° Ring HA2";"HK16R-HA2-2525";"HK16R-HA2-2525";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,5";"25";"0";"0";"";"Holzbau-Shop";"";"57,50";"20,12";"65,0"
"Haftennagelrollen 16° Ring HA2";"HK16R-HA2-2535";"HK16R-HA2-2535";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,5";"35";"0";"0";"";"Holzbau-Shop";"";"69,00";"24,15";"65,0"
"Haftennagelstreifen 20° Ring HA2";"HK20R-HA2-2825";"HK20R-HA2-2825";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"25";"0";"0";"";"Holzbau-Shop";"";"100,70";"35,24";"65,0"
"Haftennagelstreifen 20° Ring HA2";"HK20R-HA2-2832";"HK20R-HA2-2832";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"32";"0";"0";"";"Holzbau-Shop";"";"111,30";"38,96";"65,0"
"Streifennagler NK20130W";"NK20130W";"NK20130W";"Befestigungsmittel";"Sonstiges";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"901,00";"720,80";"20,0"
"Streifennagler NK20160W";"NK20160W";"NK20160W";"Befestigungsmittel";"Sonstiges";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"943,40";"754,72";"20,0"
"Druckluftöl für Nagelgeräte 100ml";"094422";"094422";"Befestigungsmittel";"Nägel / Klammern";"Stk";"9,4";"422";"0";"0";"";"Holzbau-Shop";"";"22,26";"17,81";"20,0"
"1 Liter Druckluft Spezialnebelöl - harzfrei";"4006";"4006";"Befestigungsmittel";"Sonstiges";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"20,03";"16,02";"20,0"
"Nagelstreifen Glatt Blank PVC 20° EN14592:2009";"NK20-2870";"NK20-2870";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"70";"0";"0";"";"Holzbau-Shop";"";"34,98";"12,24";"65,0"
"Nagelstreifen Glatt Blank PVC 20° EN14592:2009";"NK20-3180";"NK20-3180";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"80";"0";"0";"";"Holzbau-Shop";"";"37,10";"12,98";"65,0"
